id,epoch,val_loss,val_acc,loss,acc
0x3d0fa69fcd542e80,1,0.11900000000000001,0.3111,0.1157,0.3714
0x3d0fa69fcd542e80,2,0.1171,0.3111,0.1203,0.2952
0x3d0fa69fcd542e80,3,0.1158,0.3111,0.1131,0.3714
0x3d0fa69fcd542e80,4,0.1145,0.3111,0.1103,0.3714
0x3d0fa69fcd542e80,5,0.1135,0.3111,0.1202,0.2857
0x3d0fa69fcd542e80,6,0.1125,0.3111,0.1126,0.3524
0x3d0fa69fcd542e80,7,0.1115,0.3111,0.0971,0.4667
0x3d0fa69fcd542e80,8,0.1105,0.3111,0.1035,0.4381
0x3d0fa69fcd542e80,9,0.1094,0.3111,0.1081,0.3333
0x3d0fa69fcd542e80,10,0.1085,0.3111,0.1068,0.3905
0x5bb9a7bba30e75f6,1,0.1078,0.3111,0.1337,0.2571
0x5bb9a7bba30e75f6,2,0.1056,0.3111,0.1398,0.2762
0x5bb9a7bba30e75f6,3,0.1045,0.3111,0.1271,0.3714
0x5bb9a7bba30e75f6,4,0.1033,0.3111,0.1248,0.381
0x5bb9a7bba30e75f6,5,0.1026,0.3111,0.1295,0.3048
0x5bb9a7bba30e75f6,6,0.1024,0.4889,0.1207,0.381
0x5bb9a7bba30e75f6,7,0.1024,0.4222,0.1196,0.3905
0x5bb9a7bba30e75f6,8,0.1026,0.3111,0.11599999999999999,0.4
0x5bb9a7bba30e75f6,9,0.1025,0.3333,0.1296,0.3238
0x5bb9a7bba30e75f6,10,0.1018,0.3556,0.1244,0.3048
0x1fcf1e6b7e3255a5,1,0.2285,0.2,0.1749,0.3905
0x1fcf1e6b7e3255a5,2,0.2274,0.2,0.1743,0.3905
0x1fcf1e6b7e3255a5,3,0.2258,0.2,0.1736,0.3905
0x1fcf1e6b7e3255a5,4,0.2235,0.2,0.1725,0.3905
0x1fcf1e6b7e3255a5,5,0.2202,0.2,0.1709,0.3905
0x1fcf1e6b7e3255a5,6,0.2152,0.2,0.1685,0.3905
0x1fcf1e6b7e3255a5,7,0.2078,0.2,0.1654,0.3905
0x1fcf1e6b7e3255a5,8,0.1974,0.2,0.16,0.3905
0x1fcf1e6b7e3255a5,9,0.1832,0.2,0.1532,0.3905
0x1fcf1e6b7e3255a5,10,0.1653,0.2,0.1439,0.3905
0x745f55825b9411bb,1,0.142,0.3111,0.1301,0.3429
0x745f55825b9411bb,2,0.1356,0.3111,0.1354,0.3333
0x745f55825b9411bb,3,0.1287,0.3111,0.1312,0.3238
0x745f55825b9411bb,4,0.122,0.3111,0.1264,0.3238
0x745f55825b9411bb,5,0.1158,0.3111,0.1217,0.3333
0x745f55825b9411bb,6,0.1102,0.3111,0.1172,0.3619
0x745f55825b9411bb,7,0.106,0.3111,0.1093,0.4286
0x745f55825b9411bb,8,0.1033,0.3111,0.1178,0.2857
0x745f55825b9411bb,9,0.1014,0.3111,0.1067,0.3905
0x745f55825b9411bb,10,0.0995,0.3333,0.1026,0.381
0x5fcb5a811c3559a7,1,0.106,0.4889,0.1189,0.2476
0x5fcb5a811c3559a7,2,0.1037,0.3333,0.1101,0.2286
0x5fcb5a811c3559a7,3,0.1006,0.3778,0.1021,0.3714
0x5fcb5a811c3559a7,4,0.098,0.5111,0.0936,0.5905
0x5fcb5a811c3559a7,5,0.0946,0.5111,0.0856,0.7333
0x5fcb5a811c3559a7,6,0.091,0.5111,0.0792,0.7333
0x5fcb5a811c3559a7,7,0.0881,0.5111,0.0729,0.7333
0x5fcb5a811c3559a7,8,0.0868,0.5111,0.0678,0.7333
0x5fcb5a811c3559a7,9,0.0837,0.5111,0.064,0.7333
0x5fcb5a811c3559a7,10,0.0819,0.5111,0.0607,0.7333
0x49cd756281bf0a2,1,0.1168,0.5111,0.1031,0.4762
0x49cd756281bf0a2,2,0.1136,0.5111,0.0777,0.6571
0x49cd756281bf0a2,3,0.0771,0.5111,0.0679,0.7238
0x49cd756281bf0a2,4,0.0469,0.7111,0.0534,0.7238
0x49cd756281bf0a2,5,0.055,0.6,0.0325,0.8476
0x49cd756281bf0a2,6,0.0259,0.9111,0.0328,0.8476
0x49cd756281bf0a2,7,0.0248,0.9333,0.0284,0.8571
0x49cd756281bf0a2,8,0.0196,0.9556,0.0391,0.7809999999999999
0x49cd756281bf0a2,9,0.0279,0.8667,0.0312,0.8381
0x49cd756281bf0a2,10,0.0081,1.0,0.0278,0.8952
0x3c0542561ba99a62,1,0.1112,0.3111,0.1054,0.3619
0x3c0542561ba99a62,2,0.1017,0.4,0.0931,0.4
0x3c0542561ba99a62,3,0.0943,0.5111,0.0917,0.5714
0x3c0542561ba99a62,4,0.0936,0.5111,0.09,0.581
0x3c0542561ba99a62,5,0.0932,0.5111,0.0845,0.6857
0x3c0542561ba99a62,6,0.0901,0.5111,0.0789,0.6762
0x3c0542561ba99a62,7,0.0896,0.5111,0.0826,0.6286
0x3c0542561ba99a62,8,0.0895,0.5111,0.0759,0.7143
0x3c0542561ba99a62,9,0.086,0.5111,0.0755,0.6476
0x3c0542561ba99a62,10,0.0857,0.5111,0.0753,0.6667
0x7e295ccce63047f4,1,0.1181,0.3111,0.12300000000000001,0.3905
0x7e295ccce63047f4,2,0.1063,0.5111,0.1045,0.4857
0x7e295ccce63047f4,3,0.0958,0.5111,0.0942,0.5238
0x7e295ccce63047f4,4,0.0868,0.5111,0.0971,0.5048
0x7e295ccce63047f4,5,0.0798,0.5111,0.0817,0.6
0x7e295ccce63047f4,6,0.0754,0.5111,0.0744,0.6667
0x7e295ccce63047f4,7,0.0699,1.0,0.0662,0.6857
0x7e295ccce63047f4,8,0.068,0.9333,0.0719,0.6381
0x7e295ccce63047f4,9,0.0659,0.7333,0.0658,0.7048
0x7e295ccce63047f4,10,0.0598,0.9556,0.0577,0.7333
0x83bb1fee2977523,1,0.0862,0.5111,0.1092,0.3143
0x83bb1fee2977523,2,0.0846,0.6444,0.106,0.2667
0x83bb1fee2977523,3,0.0839,0.8,0.1029,0.3524
0x83bb1fee2977523,4,0.0841,0.5333,0.08900000000000001,0.4571
